L,lambda,R_any_mean,R_x_mean,R_y_mean
100,0.861417,0.7281724,0.543291,0.5701345
100,0.861418,0.7269875,0.541893,0.5692119
100,0.861419,0.7285127,0.543163,0.57073
100,0.86142,0.7288677,0.5438898,0.5707938
100,0.861421,0.7292354,0.5445862,0.5706687
100,0.861422,0.7276923,0.5426414,0.5700526
100,0.861423,0.7294338,0.5443257,0.5716857
100,0.861424,0.7279697,0.5430692,0.5696376
100,0.861425,0.7291063,0.5434603,0.5716239
100,0.861426,0.7299588,0.5446824,0.5717228
100,0.861427,0.7299123,0.5448693,0.5720302
100,0.861428,0.7292026,0.5445688,0.5711297
100,0.861429,0.7289538,0.5435842,0.5714891
100,0.86143,0.7311784,0.5453535,0.5734158
100,0.861431,0.7301594,0.5452784,0.5727108
100,0.861432,0.7296628,0.5451371,0.5717212
100,0.861433,0.729658,0.544399,0.5721276
100,0.861434,0.7309421,0.5455772,0.5731437
100,0.861435,0.7305625,0.5459198,0.5723421
100,0.861436,0.731738,0.5463022,0.5747483
100,0.861437,0.7305578,0.5459866,0.5725846
100,0.861438,0.732378,0.5469973,0.5747458
100,0.861439,0.7322275,0.5475264,0.5751864
100,0.86144,0.7327262,0.5476374,0.5746736
100,0.861441,0.7339064,0.5485466,0.5767379
100,0.861442,0.7316267,0.5463424,0.5747494
100,0.861443,0.7329503,0.5479754,0.5751494
100,0.861444,0.733555,0.5487285,0.5764531
100,0.861445,0.7328087,0.5479366,0.5751981
100,0.861446,0.7323874,0.547075,0.5750377
100,0.861447,0.731841,0.5469579,0.5742831
100,0.861448,0.733519,0.5493306,0.5754082
100,0.861449,0.7344227,0.5493082,0.5767968
100,0.86145,0.7341676,0.5492347,0.5762238
100,0.861451,0.7343657,0.5495607,0.5775016
100,0.861452,0.7328163,0.548135,0.5756684
100,0.861453,0.7371969,0.5525684,0.5797936
100,0.861454,0.7351651,0.5499067,0.5780385
100,0.861455,0.7349216,0.5501637,0.5772347
100,0.861456,0.7359553,0.5503486,0.5791325
100,0.861457,0.7373521,0.5519386,0.5799715
100,0.861458,0.7373421,0.5521476,0.5807907
100,0.861459,0.7349804,0.5501751,0.5776459
100,0.86146,0.7359589,0.5514573,0.5783595
100,0.861461,0.736345,0.5522183,0.5788409
100,0.861462,0.7356913,0.5512866,0.5787837
100,0.861463,0.7363354,0.5514945,0.579506
100,0.861464,0.7358859,0.5513838,0.5787648
100,0.861465,0.736307,0.5511959,0.5790785
100,0.861466,0.7362815,0.5510134,0.5791791
100,0.861467,0.7358761,0.5512993,0.5782797
100,0.861468,0.7366928,0.551492,0.5794017
100,0.861469,0.7370834,0.5523732,0.5803623
100,0.86147,0.7361675,0.5520586,0.5784053
100,0.861471,0.7362951,0.5512001,0.5792299
100,0.861472,0.7374011,0.5513375,0.5802978
100,0.861473,0.7375718,0.5523618,0.5810332
100,0.861474,0.7369325,0.5519711,0.5799214
100,0.861475,0.7363299,0.5514031,0.5785593
100,0.861476,0.736985,0.5518611,0.5797209
100,0.861477,0.7350167,0.5499149,0.5776255
100,0.861478,0.7380553,0.553441,0.5804923
100,0.861479,0.7368028,0.5516437,0.5796029
100,0.86148,0.7369841,0.5522636,0.5804327
100,0.861481,0.7363356,0.5518447,0.5788277
100,0.861482,0.7353351,0.55009,0.5780598
100,0.861483,0.7356614,0.5510829,0.5779396
100,0.861484,0.7368297,0.552003,0.5797658
100,0.861485,0.7372787,0.5527634,0.5801721
100,0.861486,0.7369769,0.55225,0.5797623
100,0.861487,0.7364184,0.551941,0.5791699
100,0.861488,0.7362078,0.5510716,0.5789657
100,0.861489,0.7358123,0.5510322,0.5780818
100,0.86149,0.7367879,0.5513668,0.5796945
100,0.861491,0.7360341,0.5512725,0.5789562
100,0.861492,0.7368649,0.5528079,0.5797472
100,0.861493,0.7365091,0.5514177,0.5792569
100,0.861494,0.7361223,0.5514887,0.5788139
100,0.861495,0.7371776,0.5528481,0.5800006
100,0.861496,0.736016,0.5504459,0.5786928
100,0.861497,0.7350833,0.5502297,0.5779235
100,0.861498,0.7371814,0.5526471,0.5793093
100,0.861499,0.7367079,0.5520568,0.5787065
100,0.8615,0.736487,0.5520905,0.5788928
100,0.861501,0.7364149,0.5512509,0.5791568
100,0.861502,0.7354166,0.5505727,0.5776527
100,0.861503,0.7367451,0.5509669,0.5791971
100,0.861504,0.7359382,0.551048,0.5785707
100,0.861505,0.7370058,0.5522766,0.5792532
100,0.861506,0.7366118,0.5521791,0.5790982
100,0.861507,0.7359452,0.5512204,0.5783948
100,0.861508,0.7368997,0.5523345,0.579624
100,0.861509,0.7363987,0.5521675,0.5793397
100,0.86151,0.7369305,0.5521788,0.5793528
100,0.861511,0.7368433,0.5523546,0.5790832
100,0.861512,0.7379,0.5533594,0.5809327
100,0.861513,0.7366521,0.5518021,0.5797688
100,0.861514,0.7360868,0.5511552,0.5787697
100,0.861515,0.7380597,0.553318,0.5805704
100,0.861516,0.737065,0.55226,0.5800424
100,0.861517,0.7371091,0.5521877,0.5799036
100,0.861518,0.7373914,0.5525818,0.5801929
100,0.861519,0.7364276,0.5520001,0.5789526
100,0.86152,0.738001,0.5530222,0.5800433
100,0.861521,0.7367499,0.5514615,0.579183
100,0.861522,0.7375457,0.5524665,0.5805334
100,0.861523,0.7378869,0.5536252,0.5801752
100,0.861524,0.7358038,0.5514143,0.5795121
100,0.861525,0.7363753,0.5518365,0.5789448
100,0.861526,0.7367287,0.5516325,0.5795044
100,0.861527,0.7372031,0.5531193,0.5798954
100,0.861528,0.7373705,0.5530878,0.5804407
100,0.861529,0.7369645,0.5521199,0.5800456
100,0.86153,0.738662,0.5536985,0.5821133
100,0.861531,0.7375742,0.5532085,0.5803846
100,0.861532,0.7360355,0.5512195,0.5787096
100,0.861533,0.7377865,0.5532703,0.5801282
100,0.861534,0.7357629,0.5509436,0.5782354
100,0.861535,0.7381554,0.5531888,0.5807401
100,0.861536,0.7381419,0.5534115,0.5813388
100,0.861537,0.7366401,0.5522533,0.579548
100,0.861538,0.7401419,0.555629,0.5826244
100,0.861539,0.7404172,0.5555831,0.583407
100,0.86154,0.7377605,0.5536719,0.5805044
100,0.861541,0.7397986,0.5555208,0.5826508
100,0.861542,0.7388125,0.553505,0.5822967
100,0.861543,0.7382661,0.5535675,0.5815104
100,0.861544,0.738906,0.5537749,0.5818984
100,0.861545,0.738318,0.5534331,0.5814199
100,0.861546,0.7398667,0.5557311,0.582603
100,0.861547,0.7394064,0.5543521,0.5826734
100,0.861548,0.7381151,0.5535433,0.5808751
100,0.861549,0.7394295,0.555106,0.5819495
100,0.86155,0.7390061,0.5545345,0.5817695
100,0.861551,0.7392353,0.5549381,0.5817601
100,0.861552,0.7385701,0.5537166,0.5813708
100,0.861553,0.7382707,0.5536963,0.5806578
100,0.861554,0.7390352,0.5544506,0.5818556
100,0.861555,0.7388748,0.5535701,0.5817153
100,0.861556,0.7391006,0.5540922,0.5822916
100,0.861557,0.7384037,0.5534839,0.5813986
100,0.861558,0.739627,0.5545488,0.5825365
100,0.861559,0.7390239,0.5548282,0.5820163
100,0.86156,0.7397324,0.5549328,0.5827464
100,0.861561,0.7386296,0.5538453,0.5813414
