lambda,A_mean,A_std,A_count,A_se,chi,chi_se,chi_std,S1_mean,S1_std
0.8474999999999969,0.8630095725568135,0.0020493523813294,10000.0,2.0493523813294675e-05,4.199425198470053e-06,5.93977501364477e-08,5.939775013644769e-06,0.0031047304153442,0.0007565516112076
0.8475999999999969,0.861600228398641,0.0018997669868556,10000.0,1.899766986855689e-05,3.6087536927631447e-06,5.1043140437088675e-08,5.104314043708867e-06,0.0031257201194763,0.0007651086302069
0.8476999999999969,0.860923212779363,0.002356055357029,10000.0,2.356055357029057e-05,5.5504417456608834e-06,7.850687567626417e-08,7.850687567626418e-06,0.0031584391593933,0.000751038543797
0.8477999999999969,0.8603112148618699,0.0019544773847109,10000.0,1.9544773847109064e-05,3.819599848853272e-06,5.402540270303314e-08,5.402540270303314e-06,0.0031708456993103,0.0007374360763127
0.8478999999999969,0.859135533413887,0.002361606236133,10000.0,2.3616062361330423e-05,5.576626295966669e-06,7.887723669260007e-08,7.887723669260007e-06,0.0032643366813659,0.0007471559772476
0.8479999999999969,0.8581399312686919,0.0022173879665031,10000.0,2.2173879665031625e-05,4.916317713155038e-06,6.953766225592304e-08,6.953766225592304e-06,0.0033433431625366,0.0008108989312523
0.8480999999999969,0.8576954084237416,0.0021143616363279,10000.0,2.114361636327976e-05,4.4700780768014425e-06,6.322593406183692e-08,6.322593406183692e-06,0.0033859975814819,0.0008271833941107
0.8481999999999968,0.8569841719500224,0.0023227691096309,10000.0,2.3227691096309127e-05,5.39471681093584e-06,7.630426214626945e-08,7.630426214626944e-06,0.0034082704544067,0.0008175277563905
0.8482999999999968,0.8567705169582367,0.0024011801686936,10000.0,2.4011801686936773e-05,5.765089635900722e-06,8.15429106447759e-08,8.15429106447759e-06,0.0034088607788085,0.0007883811744761
0.8483999999999968,0.8562084708372751,0.0024470206826783,10000.0,2.4470206826783677e-05,5.987311430533104e-06,8.46860728640575e-08,8.46860728640575e-06,0.0034975488662719,0.0008279379584426
0.8484999999999968,0.8559378875764211,0.0022245157953418,10000.0,2.2245157953418863e-05,4.947975676516947e-06,6.998544063607957e-08,6.998544063607957e-06,0.003459748840332,0.0008340280808411
0.8485999999999968,0.8560410240093866,0.0023000386297031,10000.0,2.3000386297031465e-05,5.2896486804066e-06,7.481815148164643e-08,7.481815148164643e-06,0.0034518322944641,0.0008182385706927
0.8486999999999968,0.8553845337327323,0.0022194660855427,10000.0,2.219466085542759e-05,4.925537101740929e-06,6.966806366313508e-08,6.9668063663135084e-06,0.0035535159111022,0.0008856910192508
0.8487999999999968,0.8543414428059259,0.0023570206130516,10000.0,2.357020613051632e-05,5.554990615941335e-06,7.857121606401504e-08,7.857121606401504e-06,0.003588856601715,0.0008752964667796
0.8488999999999968,0.8539772387727101,0.0025585649292673,10000.0,2.5585649292673334e-05,6.545599871898844e-06,9.258264817608945e-08,9.258264817608944e-06,0.0036315441131591,0.0008959684872201
0.8489999999999968,0.852860929400126,0.0020211751634844,10000.0,2.0211751634844612e-05,4.084740526710817e-06,5.777562064111089e-08,5.777562064111089e-06,0.0036414317131042,0.0008527544909164
0.8490999999999967,0.8518392068831127,0.0021701731018095,10000.0,2.170173101809511e-05,4.7091803265786325e-06,6.660785778551622e-08,6.660785778551622e-06,0.003760751247406,0.0009162210723491
0.8491999999999967,0.8510482531515757,0.0020908555618555,10000.0,2.0908555618555217e-05,4.371239812894778e-06,6.182794023627056e-08,6.182794023627056e-06,0.0037903486251831,0.0009105324667014
0.8492999999999967,0.8512233575550716,0.0024127439048656,10000.0,2.412743904865665e-05,5.820751016960557e-06,8.233019953771184e-08,8.233019953771185e-06,0.0037868918418884,0.0009098414087814
0.8493999999999967,0.8505637969811756,0.0019552788313127,10000.0,1.955278831312782e-05,3.822732996927591e-06,5.4069718746969686e-08,5.406971874696969e-06,0.0038192995071411,0.0009099796411716
0.8494999999999967,0.8503994784132639,0.0021311284527482,10000.0,2.13112845274824e-05,4.54125431137431e-06,6.423266903123923e-08,6.423266903123923e-06,0.0038793132781982,0.0009744586802413
0.8495999999999967,0.8500118719689052,0.0020937620223175,10000.0,2.0937620223175427e-05,4.3834010220455966e-06,6.199995150879094e-08,6.199995150879094e-06,0.0039268304824829,0.0009661695354805
0.8496999999999967,0.849959356007576,0.0024406002889234,10000.0,2.440600288923445e-05,5.955934117340966e-06,8.42422640767894e-08,8.42422640767894e-06,0.0039508218765258,0.000955781891165
0.8497999999999967,0.8496929300022125,0.0022228904846107,10000.0,2.2228904846107263e-05,4.940747982407068e-06,6.988321026871593e-08,6.988321026871593e-06,0.0038859774589538,0.0009605004608392
