lambda,size,i,mean_cluster_size,std_cluster_size
0.860555,200,2,1588.8423,1513.2144097964808
0.860555,200,3,672.7458,652.7839497650559
0.860555,200,4,386.1202,355.4943363462735
0.860555,200,5,253.8249,214.28408901985864
0.860555,250,1,19497.1137,5102.847962276059
0.860555,250,2,2664.2174,2304.9454351205645
0.860555,250,3,1190.0688,1052.1436370048764
0.860555,250,4,709.7047,607.2833202064833
0.860555,250,5,476.6396,393.78499536434526
0.860555,300,1,25859.6635,7660.876290021976
0.860555,300,2,4164.0823,3321.779439907389
0.860555,300,3,1902.1645,1569.7758923091403
0.860555,300,4,1140.3835,910.0431318777906
0.860555,300,5,778.4564,596.8975054079522
0.860555,350,1,34840.5271,10164.9414380364
0.860555,350,2,5527.2882,4393.593142316523
0.860555,350,3,2586.4037,2127.399114229728
0.860555,350,4,1553.3099,1225.4007779370172
0.860555,350,5,1066.3476,779.8327040326456
0.860555,400,1,42406.1548,13208.00875354648
0.860555,400,2,7842.4225,5757.138844301135
0.860555,400,3,3669.8532,2723.345589191643
0.860555,400,4,2239.4314,1615.97233650619
0.860555,400,5,1554.9212,1075.0531352984056
0.860555,450,1,52398.5035,16684.35119954871
0.860555,450,2,9704.3474,7039.723074923502
0.860555,450,3,4635.7067,3420.840954788589
0.860555,450,4,2876.8769,2062.0611393362287
0.860555,450,5,2005.3096,1390.4113098320552
0.860555,500,1,65115.1025,20276.42906563084
0.860555,500,2,11774.554,8769.22758916286
0.860555,500,3,5675.3061,4290.654286122699
0.860555,500,4,3443.9626,2510.1287317239776
0.860555,500,5,2383.9397,1634.748671932768
0.860555,550,1,77367.8167,23869.304521333142
0.860555,550,2,14163.6367,10192.84655869056
0.860555,550,3,6735.117,4909.274672035733
0.860555,550,4,4178.6633,2941.8257419505167
0.860555,550,5,2947.6088,1957.807493749275
0.860555,600,1,83571.4835,28668.476311477203
0.860555,600,2,17901.3581,11753.521460019354
0.860555,600,3,8866.6976,5973.28461582607
0.860555,600,4,5545.735,3687.8644745452975
0.860555,600,5,3902.2364,2466.50991508876
0.860555,650,1,97584.6977,33506.18956660756
0.860555,650,2,20868.5396,13882.859040210156
0.860555,650,3,10329.114,7012.078190697765
0.860555,650,4,6530.8714,4342.038179636078
0.860555,650,5,4589.6333,2932.872353044884
0.860555,700,1,111343.3551,38033.83284057576
0.860555,700,2,24142.0052,15750.926289379628
0.860555,700,3,11983.0701,7972.590617942335
0.860555,700,4,7542.7353,4950.282567791864
0.860555,700,5,5341.1744,3367.0349853905473
0.860555,750,1,121550.4179,42850.298733693984
0.860555,750,2,28138.1679,17496.307199951454
0.860555,750,3,14271.0921,9057.658980445123
0.860555,750,4,9091.1022,5625.356988892386
0.860555,750,5,6470.0473,3847.606873386095
0.860555,800,1,136820.4023,49513.42821778597
0.860555,800,2,31722.9771,19637.79679272761
0.860555,800,3,16150.3315,10299.057985628924
0.860555,800,4,10236.9578,6294.720225672553
0.860555,800,5,7272.2592,4306.669640424552
0.860555,850,1,147095.8672,54150.934690523594
0.860555,850,2,36390.1225,21550.003183294742
0.860555,850,3,18905.824,11413.838797338658
0.860555,850,4,12106.0957,7114.41456093163
0.860555,850,5,8625.1581,4869.260693234062
0.860555,900,1,159977.6182,60379.59505987919
0.860555,900,2,41871.4053,24175.214991809728
0.860555,900,3,21732.6219,12883.603496066027
0.860555,900,4,13928.093,8237.143615783672
0.860555,900,5,9922.4501,5686.881669388081
0.860555,950,1,171421.6395,66591.30411369416
0.860555,950,2,45644.8777,25702.011323889652
0.860555,950,3,24520.5361,13983.083265777206
0.860555,950,4,15939.5449,9004.097263542699
0.860555,950,5,11350.7307,6236.701370305921
0.860555,1000,1,185717.7899,71913.22330491219
0.860555,1000,2,50259.9697,27719.839988183176
0.860555,1000,3,26836.9288,14884.98069007632
0.860555,1000,4,17574.8621,9694.935400637069
0.860555,1000,5,12646.4467,6807.2989373202445
0.860555,1050,1,201136.8371,80546.41319230408
0.860555,1050,2,55564.6383,30570.701626149577
0.860555,1050,3,30089.0887,16581.212313875363
0.860555,1050,4,19717.9231,10898.517922409308
0.860555,1050,5,14248.1883,7692.307123414354
0.860555,1100,1,213714.6952,83440.5361380714
0.860555,1100,2,61358.0941,32331.26753538267
0.860555,1100,3,33119.369,18012.842332783843
0.860555,1100,4,21733.62,11593.596120889386
0.860555,1100,5,15658.6957,8162.919761752237
0.860555,1150,1,231932.626,92739.43830039486
0.860555,1150,2,66148.7131,35687.41375025944
0.860555,1150,3,35724.5198,19361.02712187371
0.860555,1150,4,23534.019,12595.221960428578
0.860555,1150,5,17078.7893,8951.722610708814
0.860555,1200,1,244140.518,102352.27770082957
0.860555,1200,2,72660.5188,38090.792240427305
0.860555,1200,3,40029.0447,21087.72697928388
0.860555,1200,4,26326.9288,13825.063679958444
0.860555,1200,5,19103.3941,9825.33498499374
0.860555,1250,1,252776.2695,107177.50758675217
0.860555,1250,2,78217.8155,39363.31900999722
0.860555,1250,3,43527.7566,22187.145908681316
0.860555,1250,4,28851.0978,14429.947811763568
0.860555,1250,5,21227.9914,10441.978554935851
0.860555,1300,1,268783.408,111360.1136584394
0.860555,1300,2,85702.2812,42123.35446881809
0.860555,1300,3,47541.9585,23786.422495825063
0.860555,1300,4,31640.4266,15918.292948505878
0.860555,1300,5,22954.4732,11292.638517483432
0.860555,1350,1,281858.3501,121507.8376156276
0.860555,1350,2,90954.848,43567.370921371825
0.860555,1350,3,51343.3444,24869.7965124294
0.860555,1350,4,34550.2692,16714.571429269068
0.860555,1350,5,25442.5134,12166.561589171808
