lambda,second_max_cluster_size_mean,second_max_cluster_size_std,third_max_cluster_size_mean,third_max_cluster_size_std,fourth_max_cluster_size_mean,fourth_max_cluster_size_std,fifth_max_cluster_size_mean,fifth_max_cluster_size_std
0.8561999999999986,0.010226831626892,0.0023813004042169,0.0086426681518554,0.0017345537877576,0.007613366985321,0.0013669836213163,0.0068748423576354,0.0011279406792049
0.8562999999999986,0.0104174807548522,0.0024531183738876,0.0088077223777771,0.0017529609888111,0.0077868450164794,0.0013842578371291,0.0070295009613037,0.0011397473714203
0.8563999999999986,0.0110142731666564,0.0025937453874892,0.0092499651908874,0.0018481715341651,0.0081547016143798,0.0014558442773081,0.0073572332382202,0.0011964257738804
0.8564999999999986,0.011849540233612,0.0030001726562183,0.0098426671981811,0.0021024905010648,0.0086095023155212,0.0016321145619607,0.0077351374626159,0.0013488358829217
0.8565999999999986,0.0121105231285095,0.0030097576280242,0.0101132756233215,0.0021435424746503,0.0088354974746704,0.0016591158533073,0.0079242771148681,0.001369339733599
0.8566999999999986,0.0127421041488647,0.0033781239906197,0.0105525102615356,0.0023317417586074,0.0091898168563842,0.001804448223421,0.0082196878433227,0.0014782809462171
0.8567999999999986,0.0125830018043518,0.003044479982886,0.0105195968627929,0.0021390971127949,0.0092009711265563,0.0016920060117963,0.0082362062454223,0.0014017638456344
0.8568999999999986,0.0132984851837158,0.0032611568685873,0.0110045034408569,0.002305882205805,0.0095779367446899,0.0018118920143148,0.0085424434661865,0.001472952907732
0.8569999999999985,0.013076861000061,0.0031933725565571,0.0108678769111633,0.0022658643094466,0.0094600595474243,0.0017455626717345,0.0084697015762329,0.0014371108598535
0.8570999999999985,0.0135595457077026,0.0034803887470724,0.0111900648117065,0.0024530912497443,0.0097005725860595,0.0018622989654016,0.0086414635658264,0.0015121719508269
0.8571999999999985,0.0131591631889343,0.0032849988756204,0.0109442695617675,0.00232895118999,0.0095430665016174,0.0018325260453245,0.0085388041496276,0.001496583189101
0.8572999999999985,0.0141938122749328,0.0036948540614757,0.011606872844696,0.0025350431639122,0.0100568411827087,0.001942084062284,0.0089220219612121,0.001571784106496
0.8573999999999985,0.0144611290931701,0.0037509604572609,0.0118765597343444,0.0025876896679289,0.0102890183448791,0.0020202933923434,0.0091330624580383,0.0016394870685586
0.8574999999999985,0.015107284450531,0.0038746607536211,0.0123670137405395,0.0026521478588348,0.0106712354660034,0.002036478446613,0.0094630557060241,0.0016724795055356
0.8575999999999985,0.015240910243988,0.0038480406619583,0.0124842847824096,0.0026806627484772,0.0107582910537719,0.0021073918732221,0.0095033303260803,0.0016944293678328
0.8576999999999985,0.015821538734436,0.0040945545351101,0.0129161227226257,0.0028102053578363,0.0110781517982482,0.0021423106963894,0.0098138981819152,0.0017455872378318
0.8577999999999985,0.0160562503814697,0.004101487941395,0.0130906603813171,0.0028492217109917,0.0112936063766479,0.0021943745283461,0.0100079399108886,0.001783913425889
0.8578999999999984,0.0156728351593017,0.0040334235336331,0.0128062739372253,0.0027822143767252,0.0110596658706665,0.0021445934984998,0.0098084639549255,0.0017670817069611
